BIOS Version,Test Case Number,Test Case Name,Result,Comment
BIOS030202 2024 BIOS PreRelease Test v1.01,7-36,Version Changes 2017 Buff Flashing,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,14-3,Bios F10 Setting For Firebird Policies With Bcu,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,I.2.AC,#2-AC#4 Boot Remote (PXE),●,
BIOS030202 2024 BIOS PreRelease Test v1.01,D.Pre.1,Image Dash verification,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,O.Pre.1,ME Setting Verification,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,O.Pre.2,Intel CIRA,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.1,[Intel] Flash with Intel FPT under EFI shell and OS,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.2,[AMD] Flash with  under EFI shell,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.3,BIOS update method validation ( Stratus / Local media from F10 ),●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.4,BIOS/Firmware Version Quick Check,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.5,BIOS File Validation for BIOS Package,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.6,How_to_Flash Document Validation,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.8,BCU Data comparison after flash BIOS via HPBIOSUPDREC or HPFirmwareUPDREC - From PV Phase,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.11,"Flash BIOS with new FUR GUI for all G7 platforms and above, except 400 G7 series",●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.13,"Verify BIOS, ME and all firmware update can be triggered and completed without failure for UEFI OS with dock user scenario.",●,
BIOS030202 2024 BIOS PreRelease Test v1.01,V.Pre.1,Modern Standby support check with RW tool,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,D.Pre.2,Image Device Manager,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.Pre.1,Boot & Restart,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.Pre.2,Boot & Restart After Standby,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.Pre.3,Boot & Restart After Hibernation,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.Pre.4,Boot & Shutdown,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.Pre.5,Boot & Shutdown After Standby,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.Pre.6,Boot & Shutdown After Hibernation,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,L.9.1a,[Intel] Fundamental Support of 'Runtime Power Management' Feature - AC#5,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,L.9.1a,[Intel] Fundamental Support of 'Runtime Power Management' Feature - AC#7,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,L.9.1b.5,: Verify the “Runtime Power Management” feature enables performance states (P-states).,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,L.9.1c.1,: Verify performance states (P-states) are supported for Notebook AMD platform.,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,5-6,Boot Order Uefi Boot Order,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,5-7,Boot Order Windows Boot Manager Id For Sata Devices - HW,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,5-13,F10 Setup Bios Admin Password Password Policy,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,2-65,ADD BASE SKU NUMBER AND EC VERSION IN SYSTEM INFO - HW&DB,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,3-98,FACTORY FLASH APPLICATION THAT IS ABLE TO FULL FLASH BIOS ROM IF MPM IS UNLOCKED - ALL REGIONS - DB,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,3-112,TPM PCR(0) MEASUREMENT,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,3-119,"DEVICE GUARD - FIRMWARE SUPPORT FOR SMM PROTECTION, UEFI NX PROTECTION VALIDATION - Attach Log file (Production Signed BIOS)",●,
BIOS030202 2024 BIOS PreRelease Test v1.01,7-40,BIOS Upgrade Downgrade Using HPFWUPDREC,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,20-1,"Public WMI Changes (Update 2, Based On OS Recovery BIOS Interface Spec. R07)",●,
BIOS030202 2024 BIOS PreRelease Test v1.01,24-8,CSME RECOVERY - Core BIOS implementation for Intel ME recovery. Includes HMAC commands and EC logging Interfaces. - Test it every ME version update,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,K.4.AC7,External Display Closed Lid (LCD Off / Crt On) - Test from Production Signed BIOS,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,K.4.AC1,UEFI Native Mode video support - Test from Production Signed BIOS,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.7,SPI Lock Protection Test Official Signed Bios,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.10,BIOS Release Note Document Validation,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,I.11.1,AC#4 Bluetooth,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,I.18.Pre.1,WWAN,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,E.Pre.1,Built-in Devices Finger Print,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,G.16,'Smart Card' Feature_Acceptance Criteria#4,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.Pre.7,SelfTest tool (Intel platform only) - Test when RC Code update,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,D.19.1,ZPODD Testing - Test when Production Signed BIOS,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,I.Pre.1,Network Connectivity in OS,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,D.Pre.3,"Devices Internal (Mice, Keyboards) Checking",●,
BIOS030202 2024 BIOS PreRelease Test v1.01,U.Pre.1,Functionality of Dock full devices on Ports Support - Test from Production Signed BIOS,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,A.Pre.1,CHID Test,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,D.34,Action Key (Hotkey) and Brightness / Volume Checking,●,
BIOS030202 2024 BIOS PreRelease Test v1.01,7-36,Version Changes 2017 Buff Flashing,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,7-40,BIOS Upgrade Downgrade Using HPFWUPDREC,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,2-65,ADD BASE SKU NUMBER AND EC VERSION IN SYSTEM INFO - HW&DB,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,3-98,FACTORY FLASH APPLICATION THAT IS ABLE TO FULL FLASH BIOS ROM IF MPM IS UNLOCKED - ALL REGIONS - DB,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,3-119,"DEVICE GUARD - FIRMWARE SUPPORT FOR SMM PROTECTION, UEFI NX PROTECTION VALIDATION - Attach Log file (Production Signed BIOS)",NA,
BIOS030202 2024 BIOS PreRelease Test v1.01,5-6,Boot Order Uefi Boot Order,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,5-7,Boot Order Windows Boot Manager Id For Sata Devices - HW,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,5-13,F10 Setup Bios Admin Password Password Policy,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,14-3,Bios F10 Setting For Firebird Policies With Bcu,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.1,[Intel] Flash with Intel  under EFI shell and OS,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.2,[AMD] Flash with  under EFI shell,NA,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.3,BIOS update method validation ( Stratus / Local media from F10 ),Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.9,"[AMD] Flash different system BIOS for BR and RR APUs with Buff2.efi under UEFI shell(2017 Kirk, Spock, Scotty)",NA,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.4,BIOS/Firmware Version Quick Check,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.5,BIOS File Validation for BIOS Package,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.6,How_to_Flash Document Validation,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.8,BCU Data comparison after flash BIOS via HPBIOSUPDREC or HPFirmwareUPDREC - From PV Phase,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.10,BIOS Release Note Document Validation,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.11,"Flash BIOS with new FUR GUI for all G7 platforms and above, except 400 G7 series",Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.12,Capsule file existence checking,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.Pre.7,SelfTest tool (Intel platform only) - Test when RC Code update,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,D.Pre.1,Image Dash verification,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,D.Pre.2,Image Device Manager,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,F.Pre.32,DT Fan Table Functional check,NA,
BIOS030202 2024 BIOS PreRelease Test v1.01,PRE.8,"Devices USB (Mice, Keyboards) Hot Plug/Unplug",Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,PRE.11,Boot to Windows :  integrated graphics,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,PRE.16,"BIOSConfigUtility : get, attach text file to report",Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,PRE.17,BIOSConfigUtility : set Manufacturing Programming Mode = lock,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,PRE.18,"Verify panic mode on reboot  (00A POST screen), select enter machine unique data, enter all values & reboot
Verify no longer in panic mode",Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,3-112,TPM PCR(0) MEASUREMENT,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,A.Pre.1,CHID Test,Fail,
BIOS030202 2024 BIOS PreRelease Test v1.01,24-8,CSME RECOVERY - Core BIOS implementation for Intel ME recovery. Includes HMAC commands and EC logging Interfaces. - Test it every ME version update,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,A.1.1.1,Verify 'System BIOS Version' is correct via F10=Setup when Configure Legacy and Secure Boot = All Legacy/All UEFI Exccept Video,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,A.1.1.3,"Verify 'System BIOS Version' retrieved by WMI/BCU 'Get' command reports correct BIOS version, and build date",Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,A.1.1.4,"Verify 'System BIOS Version' retrieved by  'Getconfig' command reports correct BIOS version, and build date",Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,A.1.3.1,Verify “Video BIOS Version” is correct via F10=Setup when Option ROM Launch Policy = All Legacy/All UEFI Exccept Video,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,A.1.5.1,Verify Embedded Controller Firmware Version or Super I/O Firmware Version is correct via F10=Setup,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,A.1.2.1,Verify 'ME Firmware Version' retrieved via F10=Setup reports correct ME Firmware Version,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,A.1.2.2,Verify 'ME Firmware Version' retrieved by WMI/BCU 'Get' command reports correct ME Firmware Version,Pass,
